sentence,attack_type,len_payload,http_method
-3752,1,5,GET
02:00 AM,0,8,POST
0,0,1,POST
21%,1,3,GET
26%,1,3,GET
28%,1,3,GET
29%,1,3,GET
12:00 PM,0,8,POST
1,0,1,POST
2,0,1,GET
3,0,1,GET
4,0,1,POST
5,0,1,POST
6,0,1,POST
7,0,1,POST
8,0,1,GET
9,0,1,GET
10,0,2,GET
11,0,2,POST
12,0,2,POST
13,0,2,POST
14,0,2,POST
15,0,2,GET
16,0,2,GET
17,0,2,POST
18,0,2,POST
19,0,2,POST
20,0,2,POST
21,0,2,POST
22,0,2,POST
23,0,2,POST
24,0,2,POST
25,0,2,POST
26,0,2,POST
27,0,2,POST
28,0,2,POST
29,0,2,POST
30,0,2,POST
31,0,2,POST
32,0,2,POST
33,0,2,GET
34,0,2,GET
35,0,2,GET
36,0,2,GET
37,0,2,GET
38,0,2,GET
39,0,2,GET
40,0,2,GET
41,0,2,GET
42,0,2,GET
43,0,2,GET
44,0,2,GET
45,0,2,GET
46,0,2,GET
47,0,2,GET
48,0,2,GET
49,0,2,GET
50,0,2,GET
51,0,2,GET
52,0,2,GET
53,0,2,GET
54,0,2,GET
55,0,2,GET
56,0,2,GET
57,0,2,GET
58,0,2,GET
59,0,2,GET
60,0,2,POST
61,0,2,POST
62,0,2,POST
63,0,2,POST
64,0,2,POST
65,0,2,POST
66,0,2,POST
67,0,2,POST
68,0,2,POST
69,0,2,POST
70,0,2,POST
71,0,2,POST
72,0,2,POST
73,0,2,POST
74,0,2,POST
75,0,2,POST
76,0,2,POST
77,0,2,POST
78,0,2,POST
79,0,2,POST
80,0,2,POST
81,0,2,POST
82,0,2,POST
83,0,2,POST
84,0,2,POST
85,0,2,POST
86,0,2,POST
87,0,2,POST
88,0,2,POST
89,0,2,POST
90,0,2,POST
91,0,2,POST
92,0,2,POST
93,0,2,POST
94,0,2,POST
95,0,2,POST
96,0,2,POST
97,0,2,POST
98,0,2,POST
100,0,3,POST
108,0,3,POST
116,0,3,POST
119,0,3,POST
121,0,3,POST
172,0,3,POST
173,0,3,POST
178,0,3,POST
197,0,3,POST
201,0,3,POST
207,0,3,POST
211,0,3,POST
252,0,3,POST
277,0,3,POST
280,0,3,POST
289,0,3,POST
292,0,3,POST
297,0,3,POST
303,0,3,POST
312,0,3,POST
317,0,3,POST
318,0,3,POST
326,0,3,POST
349,0,3,POST
357,0,3,POST
364,0,3,POST
368,0,3,POST
372,0,3,POST
378,0,3,POST
389,0,3,POST
433,0,3,POST
450,0,3,POST
469,0,3,POST
503,0,3,POST
522,0,3,POST
535,0,3,POST
540,0,3,POST
544,0,3,POST
546,0,3,POST
571,0,3,GET
576,0,3,GET
586,0,3,GET
606,0,3,GET
607,0,3,GET
618,0,3,GET
620,0,3,GET
651,0,3,GET
668,0,3,GET
676,0,3,GET
688,0,3,GET
695,0,3,GET
703,0,3,GET
712,0,3,GET
724,0,3,GET
725,0,3,GET
730,0,3,GET
750,0,3,GET
766,0,3,GET
784,0,3,GET
786,0,3,GET
812,0,3,GET
815,0,3,GET
847,0,3,GET
859,0,3,GET
870,0,3,GET
898,0,3,GET
911,0,3,GET
913,0,3,GET
919,0,3,GET
928,0,3,GET
946,0,3,GET
958,0,3,GET
964,0,3,GET
972,0,3,GET
973,0,3,GET
978,0,3,GET
991,0,3,GET
993,0,3,GET
1005,0,4,GET
1006,0,4,GET
1008,0,4,GET
1084,0,4,GET
1087,0,4,POST
1096,0,4,POST
1102,0,4,POST
1103,0,4,POST
1214,0,4,POST
1221,0,4,POST
1226,0,4,POST
2626,0,4,POST
2630,0,4,POST
2633,0,4,POST
2637,0,4,POST
2639,0,4,POST
2649,0,4,POST
2651,0,4,POST
6411,0,4,POST
6424,0,4,POST
6429,0,4,POST
6432,0,4,POST
6435,0,4,POST
6440,0,4,POST
6442,0,4,POST
7032,0,4,POST
7039,0,4,POST
7043,0,4,POST
7059,0,4,POST
7081,0,4,POST
7092,0,4,POST
7098,0,4,POST
7106,0,4,POST
7109,0,4,POST
7118,0,4,POST
7146,0,4,POST
7150,0,4,POST
9140,0,4,POST
9141,0,4,POST
9146,0,4,POST
9159,0,4,POST
9167,0,4,POST
9170,0,4,POST
9173,0,4,POST
9182,0,4,POST
13107,0,5,POST
13189,0,5,POST
13191,0,5,POST
13194,0,5,POST
13270,0,5,POST
13300,0,5,POST
13328,0,5,POST
13420,0,5,POST
13440,0,5,POST
13590,0,5,POST
13591,0,5,POST
13593,0,5,POST
13600,0,5,POST
13630,0,5,POST
13679,0,5,POST
13710,0,5,POST
13750,0,5,POST
14100,0,5,POST
14139,0,5,POST
14140,0,5,POST
24232,0,5,POST
24248,0,5,POST
24249,0,5,POST
24324,0,5,POST
24391,0,5,POST
24410,0,5,POST
24429,0,5,POST
39313,0,5,POST
39375,0,5,POST
39392,0,5,GET
39419,0,5,GET
39426,0,5,GET
50408,0,5,GET
50420,0,5,GET
50430,0,5,GET
50490,0,5,GET
50491,0,5,GET
50513,0,5,GET
6.79504E+13,0,11,GET
7.67474E+13,0,11,POST
8.51849E+13,0,11,POST
9.56341E+13,0,11,GET
1.06099E+14,0,11,GET
1.06705E+14,0,11,GET
1.13026E+14,0,11,GET
1.20958E+14,0,11,GET
1.31469E+14,0,11,GET
1.31573E+14,0,11,POST
1.42424E+14,0,11,POST
1.42716E+14,0,11,POST
1.56766E+14,0,11,POST
1.83912E+14,0,11,POST
1.84493E+14,0,11,POST
1.97877E+14,0,11,POST
2.03614E+14,0,11,POST
2.07129E+14,0,11,POST
6.58835E+15,0,11,POST
6.59088E+15,0,11,POST
9.99022E+15,0,11,POST
9.99809E+15,0,11,GET
9.99969E+15,0,11,GET
3.1E+17,1,7,GET
1.4E+36,0,7,POST
',1,1,POST
'',1,2,POST
'-',1,3,POST
-,1,1,POST
 --,1,2,POST
' ',1,3,POST
' -- ,1,4,POST
 -- &password = ,1,14,POST
' -- &password = ,1,16,POST
  ( select top 1,1,14,POST
'  ( select top 1,1,17,POST
'  )  )  ,1,7,POST
